ID,NumAff,NumImm,IDPeriode,MontantDeclaration
116,AFF0185,IMM07949,202409,6634.64
117,AFF0104,IMM06741,202411,-5235.89
118,AFF0216,IMM00734,202401,4920.65
119,AFF0113,IMM07147,202306,6503.9
120,AFF0475,IMM08546,202406,6841.14
121,AFF0429,IMM04731,202305,-169.19
122,AFF0252,IMM04746,202308,1179.07
123,AFF0336,IMM04667,202401,5738.68
124,AFF0323,IMM03686,202302,8.68
125,AFF0092,IMM06467,202303,-7583.89
126,AFF0480,IMM06289,202305,9970.28
127,AFF0469,IMM05230,202301,-9982.28
128,AFF0281,IMM09886,202411,-1434.36
129,AFF0164,IMM04836,202306,-7791.31
130,AFF0223,IMM03031,202405,-8267.49
131,AFF0074,IMM09160,202301,-948.48
132,AFF0271,IMM01347,202411,658.36
133,AFF0054,IMM04786,202305,-7400.45
134,AFF0253,IMM03012,202402,5887.74
135,AFF0084,IMM02200,202407,419.58
136,AFF0295,IMM00569,202407,-7344.12
137,AFF0188,IMM09733,202404,3503.38
138,AFF0034,IMM06827,202312,8556.59
139,AFF0041,IMM00009,202301,-7489.45
140,AFF0058,IMM03967,202404,-1542.44
141,AFF0076,IMM05783,202409,4459.89
142,AFF0492,IMM00946,202303,-6236.76
143,AFF0182,IMM00945,202409,-2311.9
144,AFF0136,IMM07382,202305,-23.8
145,AFF0221,IMM06184,202312,-1577.78
146,AFF0025,IMM07833,202308,2918.85
147,AFF0454,IMM05256,202305,-8553.72
148,AFF0453,IMM03409,202301,8564.41
149,AFF0023,IMM04604,202309,-4178.91
150,AFF0350,IMM06732,202307,-9405.02
151,AFF0225,IMM09760,202308,749.75
152,AFF0441,IMM05048,202405,4614.48
153,AFF0400,IMM01504,202310,729.67
154,AFF0470,IMM00686,202408,9798.95
155,AFF0197,IMM04406,202405,-3723.19
156,AFF0041,IMM03422,202308,5611.74
157,AFF0249,IMM05021,202412,2630.74
158,AFF0156,IMM06189,202411,3349.87
159,AFF0324,IMM09518,202409,-340.19
160,AFF0442,IMM04165,202311,-9575.03
161,AFF0212,IMM03585,202305,-7574.05
162,AFF0115,IMM06392,202309,9571.51
163,AFF0278,IMM03641,202405,-7741.96
164,AFF0488,IMM04045,202404,-1535.51
165,AFF0278,IMM03290,202305,-6391.62
166,AFF0262,IMM04413,202308,8194.25
167,AFF0214,IMM04683,202307,5425.03
168,AFF0204,IMM07286,202309,-3475.62
169,AFF0101,IMM02700,202405,2318.6
170,AFF0048,IMM02615,202405,6991.26
171,AFF0187,IMM08475,202311,-2372.19
172,AFF0219,IMM08272,202410,-3121.73
173,AFF0359,IMM06273,202308,9168.14
174,AFF0492,IMM06954,202412,781.19
175,AFF0263,IMM05617,202308,-3591.02
176,AFF0122,IMM01476,202305,-8410.54
177,AFF0365,IMM08786,202302,9016.6
178,AFF0165,IMM06903,202411,6657.72
179,AFF0202,IMM06614,202411,-5343.74
180,AFF0377,IMM06966,202403,-890.84
181,AFF0321,IMM00931,202307,16.28
182,AFF0017,IMM08980,202404,5434.97
183,AFF0099,IMM02939,202402,-1990.57
184,AFF0379,IMM03669,202311,9853.52
185,AFF0373,IMM00430,202303,8942.53
186,AFF0187,IMM06040,202308,-3135.0
187,AFF0106,IMM09847,202308,5838.14
188,AFF0219,IMM03496,202406,4343.07
189,AFF0152,IMM03274,202401,5815.45
190,AFF0135,IMM05624,202406,-9371.45
191,AFF0472,IMM03275,202409,-1067.77
192,AFF0397,IMM01273,202311,-6393.38
193,AFF0125,IMM00047,202405,-9947.77
194,AFF0093,IMM09185,202307,-6167.31
195,AFF0478,IMM01756,202310,-1721.83
196,AFF0191,IMM00477,202303,1945.56
197,AFF0373,IMM05755,202409,117.54
198,AFF0229,IMM08916,202303,4252.2
199,AFF0219,IMM00677,202306,-5159.87
200,AFF0148,IMM02536,202311,-143.04
201,AFF0025,IMM08509,202412,-5768.3
202,AFF0013,IMM06439,202312,299.16
203,AFF0370,IMM05984,202307,-3300.84
204,AFF0068,IMM02433,202406,8231.04
205,AFF0197,IMM08336,202301,-9319.7
206,AFF0256,IMM00276,202409,5104.47
207,AFF0052,IMM09515,202409,-9018.87
208,AFF0006,IMM01601,202307,-3999.6
209,AFF0400,IMM04382,202402,3103.5
210,AFF0043,IMM07729,202405,-6090.2
211,AFF0087,IMM01214,202307,-5696.22
212,AFF0452,IMM08242,202308,-5436.76
213,AFF0342,IMM03446,202404,-8641.86
214,AFF0383,IMM03476,202404,-1433.59
215,AFF0424,IMM09227,202307,-4471.26
216,AFF0022,IMM05730,202308,-785.79
217,AFF0011,IMM09281,202303,3460.27
218,AFF0239,IMM08789,202411,1713.57
219,AFF0346,IMM05469,202302,1682.75
220,AFF0302,IMM09316,202304,-8897.73
221,AFF0354,IMM04827,202404,5281.97
222,AFF0139,IMM06599,202412,7570.19
223,AFF0275,IMM03841,202301,4783.92
224,AFF0482,IMM09345,202310,-1793.5
225,AFF0482,IMM01876,202408,-2326.37
226,AFF0306,IMM08823,202311,8976.35
227,AFF0182,IMM05503,202411,8195.44
228,AFF0337,IMM08370,202312,5716.72
229,AFF0295,IMM00147,202408,7465.96
230,AFF0046,IMM06258,202306,-3688.99
231,AFF0198,IMM00455,202306,5275.98
232,AFF0391,IMM08436,202310,5708.4
233,AFF0215,IMM06157,202306,9864.87
234,AFF0139,IMM06452,202311,626.43
235,AFF0412,IMM05653,202402,3518.63
236,AFF0393,IMM04277,202312,3699.6
237,AFF0336,IMM05369,202307,2608.93
238,AFF0013,IMM05504,202401,571.66
239,AFF0025,IMM03692,202306,488.07
240,AFF0286,IMM03860,202404,-5002.55
241,AFF0083,IMM02221,202411,7217.95
242,AFF0147,IMM06888,202301,2077.0
243,AFF0317,IMM01540,202302,3383.26
244,AFF0029,IMM09184,202409,1662.86
245,AFF0441,IMM08693,202304,7607.22
246,AFF0467,IMM07493,202401,-6049.69
247,AFF0316,IMM08620,202303,-2660.33
248,AFF0165,IMM01096,202404,-7737.04
249,AFF0376,IMM00749,202304,5606.54
250,AFF0415,IMM07118,202402,7607.55
251,AFF0097,IMM09933,202409,-5179.5
252,AFF0150,IMM01729,202406,-1623.36
253,AFF0107,IMM08213,202302,-8902.75
254,AFF0406,IMM04163,202305,1306.69
255,AFF0061,IMM03540,202305,5090.13
256,AFF0260,IMM06809,202402,-5374.41
257,AFF0049,IMM05612,202406,8652.28
258,AFF0237,IMM08300,202401,-9359.75
259,AFF0174,IMM03049,202307,8672.77
260,AFF0428,IMM00504,202406,-84.74
261,AFF0245,IMM08660,202309,-8423.85
262,AFF0476,IMM02330,202405,-373.25
263,AFF0204,IMM01854,202311,1169.58
264,AFF0192,IMM01531,202407,-4216.8
265,AFF0307,IMM07772,202407,2522.65
266,AFF0264,IMM08275,202403,5326.22
267,AFF0317,IMM08061,202402,3777.97
268,AFF0334,IMM07452,202303,3847.23
269,AFF0212,IMM00298,202310,-4067.92
270,AFF0500,IMM02099,202405,-1646.18
271,AFF0323,IMM04091,202303,-506.48
272,AFF0330,IMM03448,202302,-4391.9
273,AFF0481,IMM05183,202404,-7847.2
274,AFF0232,IMM04515,202411,3559.9
275,AFF0060,IMM01160,202301,9441.82
276,AFF0327,IMM08631,202412,-1553.8
277,AFF0478,IMM06958,202406,-3148.96
278,AFF0400,IMM05838,202402,4930.44
279,AFF0098,IMM07976,202306,1880.1
280,AFF0178,IMM08082,202408,-1803.61
281,AFF0369,IMM09072,202307,-552.29
282,AFF0008,IMM06436,202410,9685.0
283,AFF0069,IMM07969,202412,6405.32
284,AFF0186,IMM07339,202409,-4789.28
285,AFF0306,IMM02938,202409,8583.22
286,AFF0475,IMM03176,202404,-2412.71
287,AFF0223,IMM05623,202402,1334.96
288,AFF0063,IMM04207,202305,3275.4
289,AFF0305,IMM05227,202312,4577.3
290,AFF0434,IMM08359,202307,-8699.18
291,AFF0458,IMM07859,202402,-9304.82
292,AFF0333,IMM06621,202406,-7330.6
293,AFF0474,IMM02841,202408,-5365.75
294,AFF0500,IMM00766,202410,-905.94
295,AFF0151,IMM07981,202405,8645.79
296,AFF0090,IMM09213,202307,-9047.23
297,AFF0176,IMM02560,202311,-7206.4
298,AFF0319,IMM09313,202307,1266.67
299,AFF0488,IMM01313,202406,-4216.66
300,AFF0391,IMM01028,202411,9394.51
301,AFF0230,IMM02381,202305,6594.97
302,AFF0303,IMM04918,202306,-8384.93
303,AFF0455,IMM06683,202405,6268.81
304,AFF0330,IMM04331,202404,-6844.98
305,AFF0467,IMM05946,202403,2636.1
306,AFF0489,IMM02274,202309,7529.65
307,AFF0483,IMM05921,202412,8365.47
308,AFF0082,IMM04650,202407,9074.71
309,AFF0318,IMM06483,202306,5067.69
310,AFF0038,IMM03048,202312,2933.72
311,AFF0283,IMM03711,202406,-6286.15
312,AFF0254,IMM08172,202403,-3956.81
313,AFF0442,IMM02101,202307,-7545.61
314,AFF0196,IMM09664,202308,7240.43
315,AFF0485,IMM04967,202402,7948.74
316,AFF0029,IMM01539,202303,4069.37
317,AFF0431,IMM03075,202412,-8046.03
318,AFF0489,IMM05915,202307,-6517.18
319,AFF0322,IMM06021,202306,3536.41
320,AFF0496,IMM02531,202304,4005.81
321,AFF0232,IMM06602,202411,-328.39
322,AFF0192,IMM09920,202409,-9378.9
323,AFF0474,IMM08667,202312,-7044.8
324,AFF0053,IMM05752,202406,6181.68
325,AFF0421,IMM04793,202306,-1589.89
326,AFF0482,IMM04521,202412,9529.88
327,AFF0236,IMM04750,202401,-7980.44
328,AFF0420,IMM02667,202412,-2522.5
329,AFF0394,IMM05393,202307,3985.15
330,AFF0020,IMM00851,202303,-3744.39
331,AFF0455,IMM05943,202402,-3001.71
332,AFF0076,IMM02136,202410,-5807.31
333,AFF0272,IMM05299,202301,-7085.8
334,AFF0003,IMM08239,202406,3062.12
335,AFF0439,IMM06424,202401,-3683.92
336,AFF0116,IMM00386,202402,-20.47
337,AFF0113,IMM07808,202305,-2346.77
338,AFF0072,IMM07723,202404,337.96
339,AFF0429,IMM01518,202304,-7474.56
340,AFF0053,IMM06415,202411,-739.95
341,AFF0290,IMM05187,202403,8451.44
342,AFF0322,IMM04268,202412,946.91
343,AFF0171,IMM02222,202411,8970.85
344,AFF0183,IMM05833,202403,554.36
345,AFF0066,IMM04688,202307,2360.63
346,AFF0008,IMM03753,202411,-9804.58
347,AFF0087,IMM01561,202311,2324.85
348,AFF0218,IMM06366,202305,2695.08
349,AFF0132,IMM05661,202402,6706.11
350,AFF0018,IMM02264,202403,4200.14
351,AFF0356,IMM04350,202410,-2989.07
352,AFF0450,IMM03681,202304,-5218.27
353,AFF0344,IMM07169,202303,-5443.12
354,AFF0219,IMM08151,202306,2612.57
355,AFF0182,IMM05825,202409,-2148.72
356,AFF0038,IMM07262,202301,-9247.8
357,AFF0129,IMM07160,202401,-7589.75
358,AFF0294,IMM07580,202405,9846.19
359,AFF0309,IMM02940,202310,451.8
360,AFF0488,IMM05878,202301,-9078.4
361,AFF0369,IMM07365,202407,5754.44
362,AFF0349,IMM02806,202305,-3039.88
363,AFF0448,IMM00297,202307,991.47
364,AFF0038,IMM00308,202302,-7332.89
365,AFF0108,IMM04494,202401,-7977.69
366,AFF0031,IMM02457,202304,-3949.44
367,AFF0386,IMM03208,202402,361.58
368,AFF0294,IMM00705,202409,-2375.38
369,AFF0236,IMM05851,202410,-2208.29
370,AFF0149,IMM09894,202402,1277.39
371,AFF0031,IMM05925,202306,-8395.9
372,AFF0383,IMM05859,202308,-8687.51
373,AFF0439,IMM02487,202310,-6051.49
374,AFF0226,IMM02834,202303,4802.92
375,AFF0267,IMM05585,202410,7512.47
376,AFF0103,IMM03503,202408,-8206.06
377,AFF0425,IMM07130,202406,-6991.91
378,AFF0012,IMM01561,202407,9705.91
379,AFF0063,IMM02002,202403,-714.28
380,AFF0214,IMM06880,202310,8527.25
381,AFF0499,IMM08423,202304,5227.58
382,AFF0308,IMM06078,202411,1940.17
383,AFF0437,IMM03045,202412,5556.15
384,AFF0021,IMM09600,202412,-4501.93
385,AFF0110,IMM00435,202309,8337.65
386,AFF0446,IMM07887,202312,-1961.31
387,AFF0381,IMM05794,202309,-6846.46
388,AFF0068,IMM06147,202301,-3591.36
389,AFF0203,IMM01851,202309,6775.87
390,AFF0301,IMM06893,202403,4160.88
391,AFF0395,IMM05259,202306,-9960.32
392,AFF0062,IMM02531,202407,-2774.41
393,AFF0238,IMM08117,202301,-5456.74
394,AFF0257,IMM09285,202407,7786.41
395,AFF0086,IMM02319,202404,-5331.5
396,AFF0246,IMM04867,202411,-2915.41
397,AFF0083,IMM00028,202310,6701.29
398,AFF0347,IMM07160,202411,3016.91
399,AFF0282,IMM00522,202309,8027.05
400,AFF0329,IMM02191,202408,-3734.6
401,AFF0409,IMM07459,202301,-4317.23
402,AFF0149,IMM06739,202307,8922.95
403,AFF0074,IMM03361,202303,2544.8
404,AFF0178,IMM01512,202311,-937.51
405,AFF0298,IMM07033,202402,3686.16
406,AFF0312,IMM07788,202307,1816.89
407,AFF0452,IMM09086,202301,-5759.93
408,AFF0463,IMM08349,202406,625.87
409,AFF0244,IMM09816,202306,5665.45
410,AFF0459,IMM05126,202312,-5694.52
411,AFF0402,IMM01064,202307,-3089.57
412,AFF0395,IMM04077,202301,6970.02
413,AFF0273,IMM07887,202302,1642.47
414,AFF0037,IMM00513,202310,7270.19
415,AFF0156,IMM09777,202305,7611.93
416,AFF0077,IMM04025,202301,3155.59
417,AFF0415,IMM05183,202307,-5674.48
418,AFF0107,IMM08911,202307,9220.95
419,AFF0479,IMM01760,202401,-2964.59
420,AFF0172,IMM02474,202307,9768.85
421,AFF0341,IMM03653,202308,9326.53
422,AFF0263,IMM06100,202405,-8463.53
423,AFF0295,IMM08049,202412,-8814.93
424,AFF0290,IMM00329,202305,-9640.38
425,AFF0281,IMM09903,202309,3660.72
426,AFF0358,IMM09885,202410,8897.48
427,AFF0031,IMM06507,202405,-3631.47
428,AFF0494,IMM08443,202404,5977.48
429,AFF0255,IMM05621,202312,309.49
430,AFF0240,IMM07192,202404,-4021.05
431,AFF0460,IMM03072,202406,-8898.9
432,AFF0118,IMM07037,202312,2943.67
433,AFF0385,IMM08150,202405,-12.53
434,AFF0385,IMM05443,202301,-7310.31
435,AFF0372,IMM02666,202304,-3233.79
436,AFF0429,IMM08135,202409,-990.08
437,AFF0189,IMM03353,202302,3713.33
438,AFF0016,IMM09882,202402,-7329.33
439,AFF0141,IMM09969,202412,3038.61
440,AFF0073,IMM06532,202308,-5528.94
441,AFF0288,IMM00957,202403,-7757.34
442,AFF0135,IMM04601,202410,-7479.93
443,AFF0095,IMM07848,202311,-438.82
444,AFF0422,IMM07854,202304,-6571.2
445,AFF0134,IMM00620,202303,6802.21
446,AFF0334,IMM00916,202411,-5482.81
447,AFF0028,IMM04330,202408,-536.71
448,AFF0045,IMM08971,202311,9885.24
449,AFF0056,IMM02181,202312,1008.41
450,AFF0148,IMM08183,202309,278.24
451,AFF0382,IMM08069,202303,2776.34
452,AFF0022,IMM08356,202412,-763.43
453,AFF0126,IMM08903,202305,-7945.37
454,AFF0369,IMM05754,202405,-1924.37
455,AFF0080,IMM02197,202404,-6677.55
456,AFF0381,IMM03578,202406,-4044.12
457,AFF0456,IMM09724,202309,-9262.37
458,AFF0276,IMM04604,202301,-779.62
459,AFF0393,IMM03711,202301,6240.51
460,AFF0211,IMM03094,202309,-2749.3
461,AFF0058,IMM00371,202402,-61.85
462,AFF0147,IMM05913,202304,1134.36
463,AFF0195,IMM00510,202308,-3325.96
464,AFF0028,IMM00364,202404,-8565.77
465,AFF0128,IMM07309,202405,-2708.63
466,AFF0410,IMM09754,202411,2774.5
467,AFF0164,IMM04629,202304,-4321.77
468,AFF0314,IMM05279,202410,731.09
469,AFF0202,IMM04980,202406,3695.89
470,AFF0174,IMM05048,202307,-2964.54
471,AFF0447,IMM08895,202309,1365.04
472,AFF0341,IMM08639,202308,-768.56
473,AFF0113,IMM04755,202401,-2659.94
474,AFF0404,IMM03744,202408,-5697.1
475,AFF0113,IMM04792,202410,-7397.6
476,AFF0493,IMM04098,202405,-2599.81
477,AFF0178,IMM08778,202408,3250.44
478,AFF0381,IMM05893,202303,-2193.58
479,AFF0011,IMM07286,202408,1019.24
480,AFF0474,IMM02981,202304,8660.71
481,AFF0087,IMM09849,202408,522.35
482,AFF0349,IMM06457,202311,8673.19
483,AFF0500,IMM06729,202312,9586.33
484,AFF0234,IMM05763,202410,-9151.85
485,AFF0200,IMM06609,202410,9147.25
486,AFF0244,IMM06298,202404,-5613.8
487,AFF0063,IMM04816,202309,-7979.51
488,AFF0313,IMM07816,202305,-1595.79
489,AFF0209,IMM07802,202310,7869.66
490,AFF0066,IMM07680,202304,9774.62
491,AFF0003,IMM00401,202410,-9350.24
492,AFF0032,IMM08303,202409,5908.11
493,AFF0009,IMM00539,202401,-4596.94
494,AFF0404,IMM07425,202411,-7317.98
495,AFF0402,IMM05901,202410,1418.99
496,AFF0396,IMM03038,202306,3801.4
497,AFF0157,IMM04068,202406,-9166.42
498,AFF0057,IMM00089,202404,-9852.73
499,AFF0181,IMM09858,202303,2726.53
500,AFF0160,IMM00378,202401,-3885.94
501,AFF0272,IMM07582,202405,-6215.17
502,AFF0361,IMM06614,202405,-9858.31
503,AFF0398,IMM09556,202407,2726.67
504,AFF0011,IMM04038,202411,3461.99
505,AFF0254,IMM03314,202410,-9561.84
506,AFF0134,IMM01131,202303,-9424.85
507,AFF0181,IMM01897,202303,6922.36
508,AFF0364,IMM04106,202401,4082.57
509,AFF0477,IMM01099,202405,9881.02
510,AFF0279,IMM07191,202402,2626.64
511,AFF0328,IMM05990,202312,-6497.54
512,AFF0400,IMM07364,202303,4559.76
513,AFF0230,IMM03421,202412,6220.26
514,AFF0434,IMM01415,202407,7450.63
515,AFF0094,IMM07798,202302,3448.24
516,AFF0475,IMM09545,202302,-3745.53
517,AFF0209,IMM02139,202302,-8580.03
518,AFF0043,IMM08540,202308,4417.55
519,AFF0449,IMM07646,202301,-207.98
520,AFF0130,IMM07831,202402,1725.93
521,AFF0498,IMM05381,202406,-4269.05
522,AFF0410,IMM06720,202411,-3031.73
523,AFF0123,IMM01399,202308,1897.44
524,AFF0289,IMM00295,202411,-1256.15
525,AFF0157,IMM02147,202403,1963.1
526,AFF0026,IMM01475,202311,8508.74
527,AFF0037,IMM00097,202407,-9179.58
528,AFF0488,IMM08120,202303,7595.34
529,AFF0355,IMM04037,202312,4733.52
530,AFF0166,IMM09540,202302,-6517.99
531,AFF0210,IMM04949,202406,-9371.04
532,AFF0230,IMM03014,202307,-3630.59
533,AFF0413,IMM00303,202405,-5164.27
534,AFF0445,IMM03735,202408,8598.71
535,AFF0127,IMM04750,202301,1070.8
536,AFF0353,IMM01332,202307,-5555.52
537,AFF0056,IMM06889,202311,7832.25
538,AFF0314,IMM05084,202412,-2418.86
539,AFF0459,IMM04618,202310,7302.86
540,AFF0334,IMM01203,202405,-6860.29
541,AFF0145,IMM02034,202301,9569.74
542,AFF0199,IMM04977,202302,3686.17
543,AFF0124,IMM00868,202310,-9917.94
544,AFF0023,IMM02844,202312,7258.93
545,AFF0371,IMM05391,202304,2197.18
546,AFF0430,IMM05535,202302,3063.79
547,AFF0097,IMM00167,202310,2538.19
548,AFF0301,IMM04280,202411,9753.43
549,AFF0167,IMM06957,202311,7509.18
550,AFF0206,IMM02677,202310,2118.01
551,AFF0373,IMM07084,202301,5135.28
552,AFF0488,IMM03557,202309,4791.74
553,AFF0215,IMM01169,202305,-351.27
554,AFF0074,IMM09268,202409,4419.87
555,AFF0044,IMM06218,202405,9323.84
556,AFF0319,IMM07620,202405,-9257.09
557,AFF0335,IMM05767,202308,-4594.22
558,AFF0241,IMM08546,202412,6381.85
559,AFF0260,IMM02875,202408,-9379.6
560,AFF0358,IMM00781,202311,-1915.77
561,AFF0192,IMM02210,202304,-1852.18
562,AFF0249,IMM06850,202410,749.05
563,AFF0360,IMM09623,202401,-6572.44
564,AFF0388,IMM06732,202307,-6246.19
565,AFF0080,IMM02500,202301,-3069.55
566,AFF0108,IMM01533,202310,5804.54
567,AFF0385,IMM00733,202403,-6072.03
568,AFF0128,IMM01147,202311,-8931.06
569,AFF0184,IMM06955,202301,-6434.47
570,AFF0109,IMM05963,202310,-3824.6
571,AFF0408,IMM07031,202404,4648.06
572,AFF0076,IMM00747,202307,6173.39
573,AFF0022,IMM02797,202412,4359.89
574,AFF0182,IMM04279,202306,-3499.12
575,AFF0316,IMM02364,202312,-7858.99
576,AFF0119,IMM03663,202412,9557.35
577,AFF0099,IMM03709,202410,-8235.27
578,AFF0109,IMM05259,202402,937.08
579,AFF0488,IMM08160,202301,3599.12
580,AFF0063,IMM08685,202306,8476.74
581,AFF0247,IMM02173,202306,-6775.98
582,AFF0119,IMM08546,202408,-5285.77
583,AFF0108,IMM01225,202309,-2113.7
584,AFF0044,IMM02734,202304,8604.06
585,AFF0378,IMM04237,202402,8891.33
586,AFF0224,IMM03444,202310,-3903.27
587,AFF0178,IMM08275,202301,9114.8
588,AFF0344,IMM07888,202309,6610.75
589,AFF0437,IMM08386,202312,3398.65
590,AFF0291,IMM06557,202311,256.08
591,AFF0240,IMM03894,202302,7889.62
592,AFF0050,IMM06791,202311,-6190.32
593,AFF0386,IMM09228,202307,-4851.83
594,AFF0491,IMM01956,202306,6584.87
595,AFF0103,IMM01374,202409,-1999.31
596,AFF0409,IMM02563,202412,370.31
597,AFF0254,IMM06847,202402,9763.39
598,AFF0385,IMM03927,202407,2352.92
599,AFF0370,IMM01261,202408,2894.58
600,AFF0303,IMM08457,202307,-7787.61
601,AFF0167,IMM01308,202301,5994.63
602,AFF0129,IMM01638,202408,-7783.92
603,AFF0431,IMM00658,202304,893.73
604,AFF0001,IMM03491,202302,-7541.45
605,AFF0392,IMM09831,202302,-4416.53
606,AFF0035,IMM04732,202410,6332.97
607,AFF0169,IMM05397,202412,9707.16
608,AFF0390,IMM01677,202403,5494.22
609,AFF0147,IMM03352,202408,-8538.02
610,AFF0376,IMM07985,202411,-8138.35
611,AFF0060,IMM08956,202407,-6443.29
612,AFF0146,IMM04513,202410,-7532.87
613,AFF0238,IMM04223,202311,-56.66
614,AFF0483,IMM02480,202306,-5.19
615,AFF0159,IMM03756,202304,-537.23
616,AFF0022,IMM03901,202310,-3529.35
617,AFF0414,IMM05134,202310,-8725.78
618,AFF0091,IMM03630,202302,178.16
619,AFF0045,IMM00508,202407,8595.98
620,AFF0160,IMM07342,202401,-3922.63
621,AFF0187,IMM00728,202305,-7791.33
622,AFF0140,IMM06867,202311,-444.37
